Title,Location,Bedrooms,Bathrooms,Price,Size,Listing_Type
2-BEDROOM APARTMENT,Al Ansab,2,2,300,N/A,For Rent
2-BEDROOM APARTMENT,Shatti Al Qurum,2,2,500,N/A,For Rent
4+1 BEDROOM TWIN VILLA,Madinat Qaboos (MQ),4,5,1500,N/A,For Rent
COMMERCIAL SHOP,Ghala,N/A,N/A,370,39,For Rent
COMMERCIAL OFFICE SPACE,Bausher,N/A,2,4,N/A,For Rent
"2, 3 & 4-BEDROOM COMPOUND VILLAS",Rusayl,"2,3,4",3,650,N/A,For Rent
COMMERCIAL SPACE,Shatti Al Qurum,N/A,N/A,6,N/A,For Rent
6+1 BEDROOM TWIN VILLA,Bausher,6,7,1000,N/A,For Rent
5+1 BEDROOM TWIN VILLA,Al Ansab,5,7,750,N/A,For Rent
RETAIL SPACES,Al Khuwair,N/A,N/A,7,N/A,For Rent
Showroom- Fitted for Medical or Healthcare Use,N/A,10,N/A,7,N/A,For Rent
COMMERCIAL SPACE,Azaiba,N/A,N/A,2200,N/A,For Rent
2-BEDROOM APARTMENT,Maabelah,2,N/A,180,N/A,For Rent
3-BEDROOM APARTMENT,Al Khuwair,3,4,280,N/A,For Rent
1 & 2-BEDROOM APARTMENT,Al Ghoubrah,1,1,250,N/A,For Rent
4-BEDROOM TWIN VILLA,Madinat Qaboos (MQ),4,5,800,N/A,For Rent
4-BEDROOM TWIN VILLA,N/A,4,4,700,N/A,For Rent
4-BEDROOM VILLA,N/A,4,3,600,N/A,For Rent
3-BEDROOM APARTMENT,Darsait,3,3,400,N/A,For Rent
2+1 BEDROOM APARTMENT,Al Ghoubrah,2,2,550,N/A,For Rent
5-BEDROOM TWIN VILLA,Madinat Qaboos (MQ),5,7,1800,N/A,For Rent
7-BEDROOM TWIN VILLA,Al Mawaleh,7,8,675,N/A,For Rent
5-BEDROOM COMPOUND VILLA,Madinat Al llam,5,4,900,N/A,For Rent
OFFICE SPACE,Muscat Hills,N/A,N/A,6,51.63,For Rent
3-BEDROOM TOWNHOUSE,The Wave Muscat,3,4,1100,N/A,For Rent
5-BEDROOM DETACHED VILLA,Muscat Hills,5,6,2500,N/A,For Rent
5-BEDROOM TWIN VILLA,Al Ansab,5,7,700,N/A,"For Rent, For Sale"
2-BEDROOM APARTMENT,Al Ghoubrah,2,2,600,N/A,For Rent
2-BEDROOM APARTMENT,Muscat Hills,2,3,450,N/A,For Rent
2-BEDROOM APARTMENT,Al Mawaleh,2,2,275,N/A,For Rent
4-BEDROOM TWIN VILLA,Al Mawaleh,4,5,560,N/A,For Rent
3-BEDROOM TWIN VILLA,Al Mawaleh,3,5,560,N/A,For Rent
1-BEDROOM APARTMENT,Muscat Hills,1,2,375,N/A,For Rent
6+2 BEDROOM STANDALONE VILLA,Qurum,6,7,1300,1255,For Rent
6-BEDROOM APARTMENT,Al Khuwair,6,6,550,N/A,For Rent
4+1 BEDROOM COMPOUND VILLA,Shatti Al Qurum,4,4,700,N/A,For Rent
4+1 TWIN VILLA,Shatti Al Qurum,4,5,1000,N/A,"For Rent, For Sale"
4-BEDROOM TOWNHOUSE,Al Hail,4,3,450,N/A,For Rent
3+1 TOWNHOUSE,Maabelah,4,5,600,N/A,For Rent
2-BEDROOM TOWNHOUSE,Al Ansab,N/A,N/A,650,200,For Rent
2-BEDROOM APARTMENT,Al Ansab,2,2,400,N/A,For Rent
6-BEDROOM TWIN VILLA,Shatti Al Qurum,6,6,700,N/A,For Rent
6 BEDROOM DETACHED VILLA,Madinat Al llam,6,6,850,N/A,For Rent
4 BEDROOM TWIN-VILLA,Al Mawaleh,4,5,700,N/A,For Rent
Office Space,Bausher,N/A,N/A,400,55,For Rent
2 + 1 FULLY FURNISHED APARTMENT,Qurum,2,2,500,N/A,For Rent
5 BEDROOM TOWNHOUSE,Qurum,5,6,850,N/A,For Rent
5 BEDROOM TOWNHOUSE,Qurum,5,6,950,N/A,For Rent
2 BEDROOM APARTMENT,Shatti Al Qurum,2,2,450,N/A,For Rent
3 BEDROOM APARTMENT,Azaiba,3,3,330,N/A,For Rent
1 & 2 BEDROOM APARTMENT,Azaiba,2,2,280,N/A,For Rent
3BEDROOM FURNISHED TWIN VILLA IN (AL KHOUD),Al Khoudh,3,4,400,300,For Rent
COMMERCIAL OFFICE SPACE IN (BAUSHER),Bausher,N/A,N/A,1600,415,For Rent
3 BEDROOM APARTMENT IN (DARSIT),Darsait,3,3,450,N/A,For Rent
2 BEDROOM APARTMENT IN (DARSIT),Darsait,2,2,400,N/A,For Rent
3+1 BEDROOM TOWNHOUSE IN (MADINAT SULTAN QABOOS),Madinat Qaboos (MQ),3,3,650,N/A,For Rent
FURNISHED 2 BEDROOM APARTMENT IN ( MUSCAT HILLS),Muscat Hills,2,3,475,N/A,For Rent
3 BEDROOM APARTMENT IN (AL KHUWAIR),Al Khuwair,3,4,360,N/A,For Rent
2 BEDROOM APARTMENT IN ( MADINAT SULTAN QABOOS),Madinat Qaboos (MQ),2,2,300,150,For Rent
3 BEDROOM TOWMHOUSE IN (MADINAT AL ILAM),Madinat Al llam,3,3,550,N/A,For Rent
3 BEDROOM TOWMHOUSE IN (MADINAT AL ILAM),Madinat Al llam,3,3,450,N/A,For Rent
3 BEDROOM TOWNHOUSE,Qurum,3,4,650,N/A,For Rent
5+1 BEDROOM VILLA IN ( QURUM),Qurum,5,5,2500,N/A,For Rent
3+1 BEDROOM VILLA IN ( SHATTI QURUM),Shatti Al Qurum,3,4,2500,N/A,For Rent
3+1 BEDROOM TOWNHOUSE IN (QURUM),Qurum,3,4,1000,N/A,For Rent
2 SPACIOUS SHOWROOM IN ( MAABELLAH),Maabelah,N/A,2,3000,300,For Rent
5 BEDROOM TWIN VILLA,Azaiba,5,6,700,200,For Rent
COMMERCIAL SPACE FOR RENT IN (RUWI),Ruwi,N/A,N/A,11000,N/A,For Rent
4+1  BEDROOM TWIN-VILLA,Maabelah,5,5,450,250,For Rent
4+1 BEDROOM TWIN-VILLA IN ( QURUM),Qurum,4,5,1350,600,For Rent
2 BEDROOM PENTHOUSE  IN ( MUSCAT HILLS),Muscat Hills,2,3,650,250,For Rent
2 BEDROOM PENTHOUSE FURNISHED IN ( MUSCAT HILLS),Muscat Hills,2,3,750,250,For Rent
2 BEDROOM PENTHOUSE FURNISHED IN ( MUSCAT HILLS),Muscat Hills,2,3,750,250,For Rent
FURNISHED 2 BEDROOM APARTMENT IN ( MUSCAT HILLS),Muscat Hills,2,2,450,175,For Rent
2 BEDROOM APARTMENT IN (QURUM),Qurum,2,3,350,N/A,For Rent
5 BEDROOM TOWNHOUSE,Madinat Qaboos (MQ),5,6,1100,N/A,For Rent
FULLY FURNISHED STUDIO APARTMENT IN (SALALAH),Salalah,1,1,400,55,For Rent
FURNISHED 4+1 BEDROOM TOWNHOUSE IN ( MUSCAT BAY),MUSCAT BAY,4,5,1400,583,For Rent
4+1 TOWNHOUSE IN (MADINAT AL SULTAN QABOOS),Madinat Qaboos (MQ),4,5,850,N/A,For Rent
2 BEDROOM APARTMENT IN (AL KHUWAIR),Al Khuwair,2,2,260,++150,For Rent
COMMERCIAL OFFICE SPACE IN (ALKHUWAIR),Al Khuwair,N/A,N/A,315,84,For Rent
COMMERCIAL OFFICE SPACE IN (ALKHUWAIR),Al Khuwair,N/A,N/A,515,143,For Rent
2 BEDROOM APARTMENT IN (GHUBRA),Al Ghoubrah,2,2,210,++135,For Rent
COMMERCIAL SPACE IN (SHATTI AL QURUM),Shatti Al Qurum,N/A,N/A,11900,1400,For Rent
PEARL BUILDING COMMERCIAL SPACE,Muscat Hills,N/A,N/A,1200,97,For Rent
7+1 BEDROOM COMMERCIAL VILLA IN ( MADINAT SULTAN QABOOS),Madinat Qaboos (MQ),7,5,1800,++260,For Rent
6+2 BHK COMMERCIAL VILLA IN (AZAIBA),Azaiba,6,10,3000,1000,For Rent
6+1 BEDROOM TOWNHOUSE IN (QURUM),Qurum,6,7,1800,739,For Rent
4+1 BEDROOM TOWNHOUSE IN (QURUM),Qurum,4,5,1200,529,For Rent
5+1 BEDROOM TOWNHOUSE IN ( QURUM),Qurum,5,6,1750,556,For Rent
5+1  BEDROOM TOWNHOUSE IN (QURUM),Qurum,5,6,1500,780.42,For Rent
2 BHK FULLY FURNISHED DUPLEX APARTMENT IN ( AL MOUJ),Al Mouj,2,3,2300,172,For Rent
2-BEDROOM APARTMENT,Al Mawaleh,2,3,250,N/A,For Rent
1-BEDROOM APARTMENT,Al Mawaleh,1,2,220,N/A,For Rent
5+1 BEDROOM VILLA IN (AL ANSAB),Al Ansab,5,6,750,N/A,For Rent
FURNISHED 5 BEDROOM TWIN VILLA,Al Ansab,5,N/A,850,N/A,For Rent
4 + 1 BEDROOM DETACHED VILLA,Al Ghoubrah,5,5,900,++350,For Rent
7+1 BEDROOM FURNISHED  VILLA IN ( AL KHUWAIR),Al Khuwair,7,6,950,416,For Rent
3 BEDROOM TOWNHOUSE,Qurum,4,4,750,250,For Rent
5+3 BEDROOM VILLA IN (MADINAT SULTAN QABOOS),Madinat Qaboos (MQ),5,8,2100,750,For Rent
"SHOP FOR RENT IN (RUWI, WALJA)",Ruwi,N/A,1,400,94 / 72,For Rent
2 BEDROOM APARTMENT IN (RUWI CBD),N/A,2,2,140,+-130,For Rent
2 BHK FULL FURNISHED APARTMENT IN (QURUM),Shatti Al Qurum,2,3,450,135,For Rent
OFFICE SPACE IN (RUWI),Ruwi,N/A,N/A,1500,350,For Rent
2 BEDROOM APARTMENTS IN (RUWI),Ruwi,2,3,225,+-130,For Rent
1 BEDROOM APARTMENTS IN RUWI (WALJA),Ruwi,1,2,150,+-80,For Rent
FURNISHED 2 BEDROOM TWIN-VILLA IN (MUTRAH),Mutrah,2,2,380,135,For Rent
5000 SQM WAREHOUSE IN (GHALA),Ghala,N/A,N/A,7500,5000,For Rent
NEW COMMERCIAL SHOPS IN (MABELLAH),Maabelah,N/A,N/A,550,47.5,For Rent
4 BEDROOM TWIN VILLA IN (SHATTI ALQURUM),Shatti Al Qurum,4,5,1500,+-350,For Rent
2 BEDROOM APARTMENT IN (BOUSHAR),Bausher,N/A,N/A,220,120,For Rent
4 BEDROOM DETACHED VILLA,Azaiba,4,4,750,750,For Rent
COMMERCIAL SHOPS IN (MABELLAH),Maabelah,N/A,N/A,350,350,For Rent
8 BEDROOM TWIN VILLA,Al Khoudh,4,5,600,N/A,For Rent
1 BEDROOM FURNISHED PENTHOUSE IN (ALKHUWAIR),Al Khuwair,1,2,320,100,For Rent
5 + 1 BEDROOM TWIN VILLA IN (ALKHOUDH),Al Khoudh,5,6,500,350,For Rent
6 BEDROOM DETACHED VILLA,Al Awabi,6,7,600,250,For Rent
COMMERCIAL SPACES,Seeb,N/A,N/A,135,32,For Rent
4 BEDROOM TWIN VILLA,Madinat Qaboos (MQ),4,4,680,200,For Rent
NEW FURNISHED 1 BEDROOM APARTMENT IN (MUSCAT BAY),MUSCAT BAY,1,1,500,N/A,For Rent
3+1 BEDROOM TOWNHOUSE IN (QURUM),Qurum,4,5,550,250,For Rent
4 BEDROOM TOWNHOUSE IN (ALSEEB),Seeb,4,5,550,290,For Rent
6 BEDROOM TWIN-VILLA IN (SHATTI AL QURUM),Shatti Al Qurum,6,7,1000,370,For Rent
5 + 1 BEDROOM VILLA IN (SHATTI AL QURUM),Shatti Al Qurum,5,8,750,350,For Rent
2 BEDROOM APARTMENT IN,Al Hail,2,2,180,N/A,For Rent
2 BEDROOM APARTMENT (SHATTI AL QURUM),Muscat,2,2,550,+-130,For Rent
2 BEDROOM APARTMENT IN (AL MAWALLEH),Al Mawaleh,2,2,200,+-85,For Rent
2 BEDROOM APARTMENT IN (GHALA),Ghala,2,3,210,N/A,For Rent
3 BEDROOM TWIN-VILLA IN (BOSHER),Bausher,3,6,600,+-300,For Rent
OFFICE SPACE,Ghala,N/A,N/A,-550,+-155.3,For Rent
COMMERCIAL SHOWROOM,Bausher,N/A,N/A,3000,N/A,For Rent
3+1 STANDALONE VILLA,Madinat Qaboos (MQ),3,3,750,N/A,For Rent
2+1 BEDROOM APARTMENT,Al Mouj,2,3,700,N/A,For Rent
OFFICE SPACE,Al Khuwair,N/A,N/A,350,N/A,For Rent
1-BEDROOM APARTMENT,Azaiba,1,2,33000,N/A,For Rent
2-BEDROOM APARTMENT,Al Khuwair,2,2,250,N/A,For Rent
3+1 BEDROOM VILLA,N/A,3,4,600,N/A,For Rent
5-BEDROOM STANDALONE VILLA,Shatti Al Qurum,5,5,1700,N/A,For Rent
5-BEDROOM DETACHED VILLA,Shatti Al Qurum,5,6,5000,N/A,For Rent
OFFICE SPACE,Al Ghoubrah,N/A,N/A,650,N/A,"For Rent, For Sale"
COMMERCIAL SHOWROOM,Azaiba,N/A,N/A,1350,N/A,For Rent
2-BEDROOM APARTMENT,Qurum,2,3,500,N/A,For Rent
4-BEDROOM VILLA,Qurum,4,4,550,N/A,For Rent
5-BEDROOM DETACHED VILLA,Shatti Al Qurum,5,6,2000,N/A,For Rent
2-BEDROOM COMPOUND VILLA,Shatti Al Qurum,2,3,375,N/A,For Rent
FURNISHED STUDIO APARTMENT,Salalah,1,1,300,N/A,For Rent
3+1 BEDROOM COMPOUND VILLA,Shatti Al Qurum,3,4,550,N/A,For Rent
4+1 TOWNHOUSE,Qurum,4,5,750,N/A,For Rent
6+1 BEDROOM VILLA,Shatti Al Qurum,6,7,1000,N/A,For Rent
2-3 BEDROOM APARTMENT,Ruwi,2,2,180,N/A,For Rent
2-BEDROOM APARTMENT,Ruwi,2,2,200,N/A,For Rent
2-3 BEDROOM APARTMENT,Ruwi,2,3,200,N/A,For Rent
2-BEDROOM APARTMENT,Ruwi,2,2,200,N/A,For Rent
2-3 BEDROOM APARTMENT,Ruwi,N/A,N/A,200,N/A,For Rent
COMMERCIAL OFFICE SPACE,Shatti Al Qurum,N/A,N/A,6,N/A,For Rent
2 BEDROOM APARTMENT,Al Khuwair,2,3,400,N/A,For Rent
75 & 55 SQM OFFICES,Ghala,N/A,N/A,7,75,For Rent
COMMERCIAL OFFICES,Ghala,N/A,7,150,17.5,For Rent
COMMERCIAL SHOPS,Ghala,N/A,N/A,250,N/A,For Rent
8 BEDROOM DETACHED VILLA,Ruwi,8,9+,2800,N/A,For Rent
TWO FLOORS SHOWROOM,Ruwi,N/A,N/A,4500,N/A,For Rent
SHOP AVAILABLE,Shatti Al Qurum,N/A,N/A,1700,N/A,For Rent
OFFICE SPACE,Shatti Al Qurum,N/A,N/A,600,N/A,For Rent
2 BEDROOM APARTMENT,Shatti Al Qurum,2,3,500,N/A,For Rent
4 BEDROOM APARTMENT,Mutrah,4,3,200,N/A,For Rent
3 BEDROOM TOWNHOUSE,Qurum,3,4,145000,N/A,For Rent
2 COMMERCIAL SHOPS,Al Ghoubrah,N/A,N/A,7,N/A,For Rent
5 BEDROOM DETACHED VILLA,Al Hail,5,9,900,N/A,For Rent
2 BEDROOM APARTMENT IN (SEEB),Seeb,2,3,350,170,For Rent
4 BEDROOM RENOVATED DETACHED VILLA,Azaiba,4,5,-950,+-340,For Rent
6 BEDROOM DETACHED VILLA IN (SHATTI AL QURUM),Shatti Al Qurum,6,5,-950,+-350,For Rent
2 BEDROOM APARTMENT IN (BOSHER),Bausher,2,3,475,N/A,For Rent
4 BEDROOM DETACHED VILLA IN (NIZWA),Nizwa,4,6,-600,+-400,For Rent
